# t_sim    scale_factor    phi1    phi2    K    
0.000000    1.000000    0.997356     0.000000   -0.122151 
0.050000    1.002040    0.997355     0.002026   -0.122151 
0.100000    1.004087    0.997354     0.004043   -0.122151 
0.150000    1.006143    0.997351     0.006051   -0.122151 
0.200000    1.008207    0.997348     0.008050   -0.122151 
0.250000    1.010278    0.997343     0.010040   -0.122151 
0.300000    1.012358    0.997338     0.012020   -0.122151 
0.350000    1.014446    0.997331     0.013990   -0.122151 
0.400000    1.016542    0.997324     0.015950   -0.122151 
0.450000    1.018646    0.997316     0.017901   -0.122150 
0.500000    1.020759    0.997306     0.019841   -0.122150 
0.550000    1.022879    0.997296     0.021770   -0.122150 
0.600000    1.025008    0.997284     0.023689   -0.122150 
0.650000    1.027146    0.997272     0.025597   -0.122150 
0.700000    1.029291    0.997259     0.027495   -0.122150 
0.750000    1.031445    0.997244     0.029381   -0.122150 
0.800000    1.033608    0.997229     0.031256   -0.122150 
0.850000    1.035779    0.997213     0.033120   -0.122149 
0.900000    1.037959    0.997196     0.034973   -0.122149 
0.950000    1.040147    0.997177     0.036814   -0.122149 
1.000000    1.042344    0.997158     0.038643   -0.122149 
1.050000    1.044549    0.997138     0.040460   -0.122148 
1.100000    1.046764    0.997117     0.042266   -0.122148 
1.150000    1.048987    0.997095     0.044059   -0.122148 
1.200000    1.051219    0.997071     0.045841   -0.122147 
1.250000    1.053459    0.997047     0.047610   -0.122147 
1.300000    1.055709    0.997022     0.049366   -0.122146 
1.350000    1.057967    0.996996     0.051110   -0.122146 
1.400000    1.060235    0.996969     0.052842   -0.122145 
1.450000    1.062511    0.996941     0.054561   -0.122145 
1.500000    1.064797    0.996912     0.056267   -0.122144 
1.550000    1.067092    0.996882     0.057960   -0.122144 
1.600000    1.069396    0.996851     0.059640   -0.122143 
1.650000    1.071709    0.996819     0.061307   -0.122142 
1.700000    1.074031    0.996787     0.062961   -0.122142 
1.750000    1.076363    0.996753     0.064602   -0.122141 
1.800000    1.078703    0.996718     0.066230   -0.122140 
1.850000    1.081054    0.996682     0.067844   -0.122139 
1.900000    1.083413    0.996646     0.069445   -0.122138 
1.950000    1.085783    0.996608     0.071032   -0.122137 
2.000000    1.088161    0.996569     0.072606   -0.122136 
2.050000    1.090550    0.996530     0.074166   -0.122135 
2.100000    1.092948    0.996489     0.075713   -0.122134 
2.150000    1.095355    0.996448     0.077246   -0.122132 
2.200000    1.097772    0.996405     0.078765   -0.122131 
2.250000    1.100199    0.996362     0.080271   -0.122130 
2.300000    1.102636    0.996317     0.081763   -0.122129 
2.350000    1.105083    0.996272     0.083241   -0.122127 
2.400000    1.107540    0.996226     0.084705   -0.122126 
2.450000    1.110006    0.996178     0.086155   -0.122124 
2.500000    1.112483    0.996130     0.087591   -0.122123 
2.550000    1.114969    0.996081     0.089014   -0.122121 
2.600000    1.117466    0.996031     0.090422   -0.122119 
2.650000    1.119973    0.995980     0.091816   -0.122117 
2.700000    1.122490    0.995928     0.093197   -0.122115 
2.750000    1.125017    0.995875     0.094563   -0.122114 
2.800000    1.127555    0.995821     0.095916   -0.122112 
2.850000    1.130102    0.995766     0.097254   -0.122110 
2.900000    1.132661    0.995710     0.098579   -0.122107 
2.950000    1.135230    0.995653     0.099890   -0.122105 
3.000000    1.137809    0.995595     0.101186   -0.122103 
3.050000    1.140399    0.995537     0.102469   -0.122101 
3.100000    1.142999    0.995477     0.103738   -0.122098 
3.150000    1.145610    0.995417     0.104993   -0.122096 
3.200000    1.148232    0.995355     0.106234   -0.122093 
3.250000    1.150865    0.995293     0.107461   -0.122091 
3.300000    1.153508    0.995229     0.108674   -0.122088 
3.350000    1.156162    0.995165     0.109873   -0.122085 
3.400000    1.158827    0.995100     0.111059   -0.122082 
3.450000    1.161504    0.995034     0.112231   -0.122079 
3.500000    1.164191    0.994967     0.113389   -0.122076 
3.550000    1.166889    0.994898     0.114533   -0.122073 
3.600000    1.169599    0.994830     0.115664   -0.122070 
3.650000    1.172319    0.994760     0.116781   -0.122067 
3.700000    1.175051    0.994689     0.117885   -0.122064 
3.750000    1.177795    0.994617     0.118975   -0.122060 
3.800000    1.180549    0.994544     0.120052   -0.122057 
3.850000    1.183315    0.994471     0.121115   -0.122053 
3.900000    1.186093    0.994396     0.122165   -0.122050 
3.950000    1.188882    0.994321     0.123202   -0.122046 
4.000000    1.191682    0.994244     0.124225   -0.122042 
4.050000    1.194495    0.994167     0.125236   -0.122038 
4.100000    1.197319    0.994089     0.126233   -0.122034 
4.150000    1.200155    0.994009     0.127217   -0.122030 
4.200000    1.203002    0.993929     0.128188   -0.122026 
4.250000    1.205862    0.993848     0.129146   -0.122022 
4.300000    1.208733    0.993766     0.130092   -0.122018 
4.350000    1.211617    0.993684     0.131025   -0.122013 
4.400000    1.214512    0.993600     0.131945   -0.122009 
4.450000    1.217420    0.993515     0.132852   -0.122004 
4.500000    1.220340    0.993430     0.133747   -0.121999 
4.550000    1.223272    0.993343     0.134630   -0.121995 
4.600000    1.226217    0.993256     0.135500   -0.121990 
4.650000    1.229174    0.993167     0.136358   -0.121985 
4.700000    1.232143    0.993078     0.137204   -0.121980 
4.750000    1.235125    0.992988     0.138037   -0.121974 
4.800000    1.238119    0.992897     0.138859   -0.121969 
4.850000    1.241126    0.992805     0.139669   -0.121964 
4.900000    1.244146    0.992712     0.140467   -0.121958 
4.950000    1.247178    0.992618     0.141253   -0.121953 
5.000000    1.250224    0.992524     0.142027   -0.121947 
5.050000    1.253282    0.992428     0.142790   -0.121942 
5.100000    1.256353    0.992332     0.143542   -0.121936 
5.150000    1.259437    0.992234     0.144282   -0.121930 
5.200000    1.262535    0.992136     0.145011   -0.121924 
5.250000    1.265645    0.992037     0.145728   -0.121918 
5.300000    1.268769    0.991937     0.146435   -0.121911 
5.350000    1.271906    0.991836     0.147131   -0.121905 
5.400000    1.275056    0.991734     0.147815   -0.121899 
5.450000    1.278219    0.991631     0.148489   -0.121892 
5.500000    1.281397    0.991528     0.149153   -0.121886 
5.550000    1.284587    0.991423     0.149805   -0.121879 
5.600000    1.287792    0.991318     0.150448   -0.121872 
5.650000    1.291010    0.991211     0.151080   -0.121865 
5.700000    1.294242    0.991104     0.151701   -0.121858 
5.750000    1.297487    0.990996     0.152313   -0.121851 
5.800000    1.300747    0.990887     0.152914   -0.121844 
5.850000    1.304020    0.990777     0.153506   -0.121836 
5.900000    1.307308    0.990667     0.154088   -0.121829 
5.950000    1.310610    0.990555     0.154659   -0.121821 
6.000000    1.313926    0.990442     0.155222   -0.121814 
6.050000    1.317256    0.990329     0.155775   -0.121806 
6.100000    1.320600    0.990215     0.156318   -0.121798 
6.150000    1.323959    0.990100     0.156852   -0.121790 
6.200000    1.327333    0.989984     0.157377   -0.121782 
6.250000    1.330721    0.989867     0.157893   -0.121774 
6.300000    1.334123    0.989749     0.158399   -0.121765 
6.350000    1.337541    0.989631     0.158897   -0.121757 
6.400000    1.340973    0.989511     0.159386   -0.121748 
6.450000    1.344420    0.989391     0.159867   -0.121740 
6.500000    1.347882    0.989270     0.160339   -0.121731 
6.550000    1.351359    0.989147     0.160802   -0.121722 
6.600000    1.354851    0.989025     0.161257   -0.121713 
6.650000    1.358358    0.988901     0.161704   -0.121704 
6.700000    1.361880    0.988776     0.162142   -0.121695 
6.750000    1.365418    0.988651     0.162573   -0.121686 
6.800000    1.368971    0.988524     0.162996   -0.121676 
6.850000    1.372540    0.988397     0.163411   -0.121667 
6.900000    1.376124    0.988269     0.163818   -0.121657 
6.950000    1.379724    0.988140     0.164217   -0.121647 
7.000000    1.383339    0.988010     0.164609   -0.121638 
7.050000    1.386971    0.987879     0.164994   -0.121628 
7.100000    1.390618    0.987748     0.165371   -0.121618 
7.150000    1.394281    0.987615     0.165741   -0.121607 
7.200000    1.397961    0.987482     0.166104   -0.121597 
7.250000    1.401656    0.987348     0.166460   -0.121587 
7.300000    1.405368    0.987213     0.166809   -0.121576 
7.350000    1.409096    0.987077     0.167151   -0.121566 
7.400000    1.412840    0.986941     0.167487   -0.121555 
7.450000    1.416601    0.986803     0.167816   -0.121544 
7.500000    1.420378    0.986665     0.168138   -0.121533 
7.550000    1.424172    0.986526     0.168454   -0.121522 
7.600000    1.427983    0.986386     0.168764   -0.121511 
7.650000    1.431811    0.986245     0.169067   -0.121499 
7.700000    1.435655    0.986103     0.169365   -0.121488 
7.750000    1.439517    0.985961     0.169656   -0.121476 
7.800000    1.443395    0.985817     0.169941   -0.121465 
7.850000    1.447291    0.985673     0.170221   -0.121453 
7.900000    1.451204    0.985528     0.170495   -0.121441 
7.950000    1.455134    0.985382     0.170763   -0.121429 
8.000000    1.459082    0.985236     0.171026   -0.121417 
8.050000    1.463048    0.985088     0.171283   -0.121405 
8.100000    1.467031    0.984940     0.171534   -0.121392 
8.150000    1.471031    0.984791     0.171781   -0.121380 
8.200000    1.475050    0.984640     0.172022   -0.121367 
8.250000    1.479086    0.984490     0.172258   -0.121355 
8.300000    1.483141    0.984338     0.172489   -0.121342 
8.350000    1.487213    0.984186     0.172715   -0.121329 
8.400000    1.491304    0.984032     0.172937   -0.121316 
8.450000    1.495413    0.983878     0.173153   -0.121303 
8.500000    1.499541    0.983723     0.173365   -0.121289 
8.550000    1.503687    0.983567     0.173572   -0.121276 
8.600000    1.507851    0.983411     0.173775   -0.121262 
8.650000    1.512034    0.983253     0.173973   -0.121249 
8.700000    1.516236    0.983095     0.174167   -0.121235 
8.750000    1.520457    0.982936     0.174356   -0.121221 
8.800000    1.524697    0.982776     0.174542   -0.121207 
8.850000    1.528956    0.982616     0.174723   -0.121193 
8.900000    1.533234    0.982454     0.174900   -0.121179 
8.950000    1.537531    0.982292     0.175073   -0.121165 
9.000000    1.541848    0.982129     0.175242   -0.121150 
9.050000    1.546184    0.981965     0.175407   -0.121136 
9.100000    1.550540    0.981800     0.175569   -0.121121 
9.150000    1.554915    0.981635     0.175727   -0.121106 
9.200000    1.559310    0.981468     0.175881   -0.121091 
9.250000    1.563726    0.981301     0.176032   -0.121076 
9.300000    1.568161    0.981133     0.176179   -0.121061 
9.350000    1.572616    0.980965     0.176323   -0.121046 
9.400000    1.577092    0.980795     0.176463   -0.121030 
9.450000    1.581588    0.980625     0.176600   -0.121015 
9.500000    1.586104    0.980454     0.176734   -0.120999 
9.550000    1.590641    0.980282     0.176865   -0.120984 
9.600000    1.595198    0.980109     0.176992   -0.120968 
9.650000    1.599776    0.979936     0.177117   -0.120952 
9.700000    1.604376    0.979761     0.177238   -0.120936 
9.750000    1.608996    0.979586     0.177357   -0.120920 
9.800000    1.613637    0.979410     0.177473   -0.120903 
9.850000    1.618299    0.979234     0.177586   -0.120887 
9.900000    1.622983    0.979056     0.177696   -0.120870 
9.950000    1.627688    0.978878     0.177803   -0.120854 
10.000000    1.632415    0.978699     0.177908   -0.120837 
10.050000    1.637164    0.978519     0.178011   -0.120820 
10.100000    1.641934    0.978339     0.178110   -0.120803 
10.150000    1.646726    0.978157     0.178208   -0.120786 
10.200000    1.651540    0.977975     0.178303   -0.120768 
10.250000    1.656377    0.977792     0.178395   -0.120751 
10.300000    1.661235    0.977608     0.178485   -0.120734 
